profiles 37 seconds 0.8610209830000031
[2, 3, 2, 3, 3, 3] [0, 1, 0, 0, 0, 0] [(14, (4, 2, 3, 2, 2, 2), 3), (15, (4, 3, 3, 2, 2, 2), 3)]
[2, 3, 2, 3, 3, 3] [0, 1, 0, 0, 0, 1] [(14, (4, 2, 3, 2, 2, 2), 2), (15, (4, 3, 3, 2, 2, 2), 2)]
[2, 3, 2, 3, 3, 3] [0, 1, 0, 1, 0, 0] [(14, (4, 2, 3, 2, 2, 2), 2), (15, (4, 3, 3, 2, 2, 2), 2)]
[2, 3, 2, 3, 3, 3] [0, 1, 0, 1, 0, 1] [(23, (5, 4, 5, 4, 3, 4), 0), (14, (4, 2, 3, 2, 2, 2), 1)]
[2, 3, 3, 2, 2, 3] [0, 1, 0, 0, 0, 0] [(21, (5, 4, 3, 4, 4, 3), 0), (22, (6, 4, 3, 4, 4, 3), 0)]
[2, 3, 3, 2, 3, 2] [0, 1, 0, 0, 0, 0] [(20, (5, 4, 3, 4, 2, 4), 2), (21, (5, 4, 3, 5, 3, 3), 2)]
[2, 3, 3, 2, 3, 3] [0, 1, 0, 0, 0, 0] [(14, (4, 3, 2, 3, 2, 1), 5), (14, (4, 2, 3, 3, 2, 1), 6)]
[2, 3, 3, 2, 3, 3] [0, 1, 0, 0, 0, 1] [(22, (5, 4, 3, 5, 3, 4), 4), (23, (6, 4, 3, 5, 3, 4), 4)]
[2, 3, 3, 3, 2, 2] [0, 1, 0, 0, 0, 0] [(20, (5, 4, 3, 2, 4, 4), 2), (21, (5, 4, 3, 3, 5, 3), 2)]
[2, 3, 3, 3, 2, 2] [0, 1, 0, 1, 0, 0] [(21, (5, 4, 3, 4, 4, 3), 0), (22, (6, 4, 3, 4, 4, 3), 0)]
[2, 3, 3, 3, 2, 3] [0, 1, 0, 0, 0, 0] [(14, (4, 3, 2, 2, 3, 1), 5), (14, (4, 2, 3, 2, 3, 1), 6)]
[2, 3, 3, 3, 2, 3] [0, 1, 0, 0, 0, 1] [(22, (5, 4, 3, 3, 5, 4), 4), (23, (6, 4, 3, 3, 5, 4), 4)]
[2, 3, 3, 3, 2, 3] [0, 1, 0, 1, 0, 0] [(22, (5, 4, 3, 4, 5, 3), 4), (23, (6, 4, 3, 4, 5, 3), 4)]
[2, 3, 3, 3, 2, 3] [0, 1, 0, 1, 0, 1] [(23, (5, 4, 3, 4, 5, 4), 0), (22, (5, 4, 3, 4, 5, 3), 2)]
[2, 3, 3, 3, 3, 2] [0, 1, 0, 0, 0, 0] [(14, (4, 3, 2, 2, 2, 2), 5), (14, (4, 2, 3, 2, 2, 2), 6)]
[2, 3, 3, 3, 3, 2] [0, 1, 0, 0, 0, 1] [(21, (5, 4, 3, 3, 3, 5), 2), (22, (6, 4, 3, 3, 3, 5), 2)]
[2, 3, 3, 3, 3, 2] [0, 1, 0, 1, 0, 0] [(14, (4, 3, 2, 2, 2, 2), 4), (22, (5, 4, 3, 4, 3, 5), 4)]
[2, 3, 3, 3, 3, 3] [0, 1, 0, 0, 0, 0] [(14, (4, 3, 2, 2, 2, 2), 8), (14, (4, 2, 3, 2, 2, 2), 9)]
[2, 3, 3, 3, 3, 3] [0, 1, 0, 0, 0, 1] [(14, (4, 3, 2, 2, 2, 2), 7), (15, (4, 3, 2, 2, 2, 3), 7)]
[2, 3, 3, 3, 3, 3] [0, 1, 0, 1, 0, 0] [(20, (5, 4, 3, 4, 3, 2), 6), (14, (4, 3, 2, 2, 2, 2), 7)]
[2, 3, 3, 3, 3, 3] [0, 1, 0, 1, 0, 1] [(16, (4, 3, 2, 3, 2, 3), 5), (17, (4, 3, 3, 3, 2, 3), 5)]
