23667	23673
23814	23821
24010	24011
24064	24070
24843	24845
25012	25013
25039	25042
25350	25357
25519	25528
25857	25869
26250	26257
26368	26377
26624	26633
26875	26888
27216	27222
27951	27958
28126	28138
28674	28685
28928	28930
29160	29168
29406	29416
30618	30631
30870	30874
31104	31109
31603	31603
31944	31954
32512	32513
33275	33288
33291	33293
33536	33547
34304	34313
34992	35005
35329	35341
36358	36365
36701	36706
36875	36877
37387	37389
38151	38157
38400	38407
38759	38763
39375	39379
39936	39943
40824	40830
41261	41263
42500	42509
42532	42538
43011	43021
43264	43267
43750	43753
45625	45632
46592	46598
46656	46661
47628	47629
47872	47884
48125	48138
48363	48370
50432	50434
50544	50544
51456	51463
52480	52493
52500	52501
52731	52744
53248	53253
53508	53517
53760	53763
54194	54202
54537	54541
54925	54931
55909	55915
56252	56263
56875	56875
57600	57604
58125	58125
58320	58323
59904	59908
61236	61239
61965	61965
63125	63125
64152	64154
66550	66555
66560	66563
66885	66888
67072	67081
67584	67584
68107	68109
68608	68613
69632	69642
69984	69985
70315	70317
70658	70669
71687	71693
71875	71887
72501	72513
72716	72717
73216	73218
73750	73758
75816	75816
79872	79873
81291	81302
84378	84388
85000	85005
86022	86029
86528	86528
89180	89190
90625	90637
91136	91138
91250	91251
92274	92280
96256	96263
101888	101888
102500	102500
108045	108045
110080	110092
113135	113138
114466	114466
120835	120845
122452	122464
127500	127501
129033	129037
133125	133133
134144	134149
138424	138424
138752	138763
139264	139271
143750	143761
144384	144388
145002	145013
145079	145084
151263	151263
153090	153101
158193	158197
160381	160393
162578	162580
172044	172045
175692	175702
177152	177160
180075	180076
181250	181261
182351	182360
185009	185013
192512	192513
196882	196888
206307	206318
208896	208900
215625	215635
217503	217513
218125	218125
220160	220171
220892	220900
226304	226304
229376	229388
236925	236931
241670	241677
244904	244915
261711	261722
263169	263181
267543	267544
278528	278529
287500	287509
306180	306189
320771	320775
336141	336153
347136	347139
354304	354307
359375	359383
362500	362513
364702	364707
367356	367366
421888	421888
431250	431257
435213	435213
441784	441787
467968	467974
478953	478959
481143	481153
483328	483341
489808	489817
503118	503131
527076	527080
547053	547054
557689	557698
564246	564248
575000	575005
588303	588315
608267	608269
612260	612268
612360	612365
618921	618928
634887	634893
646875	646879
649539	649541
661507	661517
672282	672293
685465	685477
688128	688140
725000	725005
725010	725013
784384	784388
785133	785140
790625	790627
818750	818754
837632	837634
865625	865631
905177	905177
960093	960102
962286	962293
966656	966667
1006020	1006032
1008423	1008433
1015625	1015636
1056768	1056770
1087500	1087501
1095687	1095693
1146880	1146888
1177600	1177605
1212505	1212513
1226911	1226920
1228125	1228136
1241317	1241318
1298432	1298440
1318761	1318763
1320960	1320961
1337357	1337357
1340631	1340638
1344564	1344573
1346972	1346974
1362501	1362513
1376256	1376267
1384375	1384384
1406250	1406254
1409387	1409388
1439046	1439048
1441233	1441245
1443429	1443433
1447803	1447807
1449984	1449994
1871875	1871885
2064384	2064394
2293760	2293763
2453822	2453827
2456250	2456259
2703132	2703138
2752512	2752521
2899968	2899975
2972133	2972136
3092488	3092493
3440640	3440648
3579904	3579904
3641355	3641357
3680733	3680734
4128768	4128775
4349952	4349956
4369833	4369833
4816896	4816902
4890625	4890637
