case,size,det_mod_65521,full_augmented
760,226,44331,1
761,226,54246,1
762,226,6657,1
763,226,44173,1
764,226,2643,1
765,226,31250,1
766,226,46198,1
767,226,53713,1
768,226,64433,1
769,226,23107,1
770,226,46567,1
771,226,55186,1
772,226,16367,1
773,226,15095,1
774,226,56158,1
775,226,36719,1
776,226,18560,1
777,226,54941,1
778,226,46304,1
779,226,24249,1
780,226,47867,1
781,226,30796,1
782,226,11694,1
783,226,41170,1
784,226,2041,1
785,226,61712,1
786,226,10723,1
787,226,63688,1
788,226,47216,1
789,226,20245,1
790,226,53354,1
791,226,6031,1
792,226,37765,1
793,226,34650,1
794,226,42205,1
795,226,54898,1
796,226,47507,1
797,226,48810,1
798,226,22202,1
799,226,11255,1
800,226,41890,1
801,226,26166,1
802,226,38032,1
803,226,36832,1
804,226,5024,1
805,226,21356,1
806,226,39422,1
807,226,35010,1
808,226,20251,1
809,226,7955,1
810,226,54134,1
811,226,25220,1
812,226,61037,1
813,226,51698,1
814,226,47572,1
815,226,26444,1
816,226,25932,1
817,226,38659,1
818,226,56529,1
819,226,13932,1
820,226,17387,1
821,226,4632,1
822,226,9342,1
823,226,6037,1
824,226,37473,1
825,226,22977,1
826,226,45313,1
827,226,36215,1
828,226,61157,1
829,226,59283,1
830,226,37377,1
831,226,56237,1
832,226,20449,1
833,226,41207,1
834,226,4964,1
835,226,24602,1
836,226,3287,1
837,226,43712,1
838,226,59206,1
839,226,20482,1
840,226,24302,1
841,226,46806,1
842,226,1470,1
843,226,4838,1
844,226,46253,1
845,226,4121,1
846,226,23082,1
847,226,57158,1
848,226,33267,1
849,226,51845,1
850,226,7488,1
851,226,63636,1
852,226,23700,1
853,226,63173,1
854,226,56870,1
855,226,18157,1
856,226,15711,1
857,226,32251,1
858,226,57635,1
859,226,20457,1
860,226,56586,1
861,226,19788,1
862,226,55409,1
863,226,20429,1
864,226,6182,1
865,226,31112,1
866,226,11207,1
867,226,18431,1
868,226,62019,1
869,226,43039,1
870,226,45739,1
871,226,50946,1
872,226,3982,1
873,226,46591,1
874,226,32636,1
875,226,13374,1
876,226,35953,1
877,226,11388,1
878,226,11320,1
879,226,2739,1
880,226,40687,1
881,226,41540,1
882,226,2685,1
883,226,4847,1
884,226,10095,1
885,226,412,1
886,226,32794,1
887,226,50374,1
888,226,58480,1
889,226,48983,1
890,226,52782,1
891,226,63913,1
892,226,28697,1
893,226,61353,1
894,226,47570,1
895,226,38814,1
896,226,18118,1
897,226,49882,1
898,226,34832,1
899,226,48989,1
900,226,27527,1
901,226,37921,1
902,226,24315,1
903,226,12028,1
904,226,50659,1
905,226,62777,1
906,226,23006,1
907,226,8854,1
908,226,39342,1
909,226,64082,1
910,226,23190,1
911,226,46676,1
912,226,39700,1
913,226,59875,1
914,226,20358,1
915,226,59812,1
916,226,23197,1
917,226,8744,1
918,226,62271,1
919,226,36850,1
920,226,53980,1
921,226,53193,1
922,226,52468,1
923,226,39437,1
924,226,31391,1
925,226,4813,1
926,226,30515,1
927,226,50980,1
928,226,14065,1
929,226,56447,1
930,226,51318,1
931,226,20523,1
932,226,31776,1
933,226,42543,1
934,226,37301,1
935,226,26553,1
936,226,52941,1
937,226,14376,1
938,226,27894,1
939,226,14565,1
940,226,32465,1
941,226,2576,1
942,226,57652,1
943,226,64270,1
944,226,36562,1
945,226,6370,1
946,226,654,1
947,226,22541,1
948,226,32659,1
949,226,57540,1
950,226,64154,1
951,226,16556,1
952,226,31318,1
953,226,45848,1
954,226,21675,1
955,226,46200,1
956,226,5249,1
957,226,64053,1
958,226,46924,1
959,226,59860,1
960,226,11774,1
961,226,53733,1
962,226,20228,1
963,226,51822,1
964,226,16183,1
965,226,25486,1
966,226,53281,1
967,226,8461,1
968,226,26735,1
969,226,8708,1
970,226,17598,1
971,226,49132,1
972,226,1670,1
973,226,13578,1
974,226,19946,1
975,226,31111,1
976,226,63082,1
977,226,53381,1
978,226,24875,1
979,226,33406,1
980,226,44947,1
981,226,15131,1
982,226,57790,1
983,226,41824,1
984,226,2326,1
985,226,17262,1
986,226,19660,1
987,226,39813,1
988,226,61281,1
989,226,58267,1
990,226,14392,1
991,226,58342,1
992,226,13943,1
993,226,46434,1
994,226,20136,1
995,226,37431,1
996,226,62261,1
997,226,18583,1
998,226,15600,1
999,226,9582,1
1000,226,10153,1
1001,226,59197,1
1002,226,57361,1
1003,226,40472,1
1004,226,39849,1
1005,226,15651,1
1006,226,51619,1
1007,226,3624,1
1008,226,10106,1
1009,226,16530,1
