GATES {'sum_gate': 1177156, 'z14_gate': 1132314, 'e2_gate': 15620} ROOT_LISTS {3: 10, 4: 55, 5: 55, 6: 220, 7: 220, 8: 715} PARAMETERS 49
JETS 100 {'inconsistent': 100} seconds 3.12
JETS 200 {'inconsistent': 200} seconds 4.73
JETS 300 {'inconsistent': 300} seconds 6.31
JETS 400 {'inconsistent': 400} seconds 8.06
JETS 500 {'inconsistent': 500} seconds 9.76
JETS 600 {'inconsistent': 600} seconds 11.54
JETS 700 {'inconsistent': 700} seconds 13.34
JETS 800 {'inconsistent': 800} seconds 15.21
JETS 900 {'inconsistent': 900} seconds 17.04
JETS 1000 {'inconsistent': 1000} seconds 19.06
JETS 1100 {'inconsistent': 1100} seconds 21.28
JETS 10500 {'inconsistent': 10372, 'rank49_factor': 128} seconds 209.14
JETS 10600 {'inconsistent': 10471, 'rank49_factor': 129} seconds 211.34
JETS 10700 {'inconsistent': 10570, 'rank49_factor': 130} seconds 213.94
JETS 10800 {'inconsistent': 10666, 'rank49_factor': 134} seconds 216.66
JETS 10900 {'inconsistent': 10766, 'rank49_factor': 134} seconds 218.96
JETS 11000 {'inconsistent': 10866, 'rank49_factor': 134} seconds 220.64
JETS 11100 {'inconsistent': 10966, 'rank49_factor': 134} seconds 222.29
JETS 11200 {'inconsistent': 11066, 'rank49_factor': 134} seconds 223.84
JETS 11300 {'inconsistent': 11166, 'rank49_factor': 134} seconds 225.53
JETS 11400 {'inconsistent': 11266, 'rank49_factor': 134} seconds 227.11
JETS 11500 {'inconsistent': 11366, 'rank49_factor': 134} seconds 228.69
JETS 11600 {'inconsistent': 11466, 'rank49_factor': 134} seconds 230.84
JETS 11700 {'inconsistent': 11564, 'rank49_factor': 136} seconds 233.04
JETS 11800 {'inconsistent': 11662, 'rank49_factor': 138} seconds 235.06
JETS 11900 {'inconsistent': 11760, 'rank49_factor': 140} seconds 237.26
JETS 12000 {'inconsistent': 11860, 'rank49_factor': 140} seconds 239.12
JETS 12100 {'inconsistent': 11957, 'rank49_factor': 143} seconds 241.62
JETS 12200 {'inconsistent': 12055, 'rank49_factor': 145} seconds 243.75
JETS 12300 {'inconsistent': 12152, 'rank49_factor': 148} seconds 246.42
JETS 12400 {'inconsistent': 12252, 'rank49_factor': 148} seconds 248.9
JETS 12500 {'inconsistent': 12350, 'rank49_factor': 150} seconds 251.31
JETS 12600 {'inconsistent': 12447, 'rank49_factor': 153} seconds 253.83
JETS 12700 {'inconsistent': 12546, 'rank49_factor': 154} seconds 256.15
JETS 12800 {'inconsistent': 12646, 'rank49_factor': 154} seconds 257.93
JETS 12900 {'inconsistent': 12746, 'rank49_factor': 154} seconds 259.73
JETS 13000 {'inconsistent': 12846, 'rank49_factor': 154} seconds 263.32
JETS 13100 {'inconsistent': 12946, 'rank49_factor': 154} seconds 265.48
JETS 13200 {'inconsistent': 13046, 'rank49_factor': 154} seconds 267.7
JETS 13300 {'inconsistent': 13146, 'rank49_factor': 154} seconds 270.04
JETS 13400 {'inconsistent': 13246, 'rank49_factor': 154} seconds 272.02
JETS 13500 {'inconsistent': 13346, 'rank49_factor': 154} seconds 273.83
JETS 13600 {'inconsistent': 13446, 'rank49_factor': 154} seconds 275.74
JETS 13700 {'inconsistent': 13546, 'rank49_factor': 154} seconds 277.88
JETS 13800 {'inconsistent': 13644, 'rank49_factor': 156} seconds 280.57
JETS 13900 {'inconsistent': 13741, 'rank49_factor': 159} seconds 283.33
JETS 14000 {'inconsistent': 13839, 'rank49_factor': 161} seconds 285.9
JETS 14100 {'inconsistent': 13939, 'rank49_factor': 161} seconds 288.17
JETS 14200 {'inconsistent': 14037, 'rank49_factor': 163} seconds 290.82
JETS 14300 {'inconsistent': 14134, 'rank49_factor': 166} seconds 293.65
JETS 14400 {'inconsistent': 14232, 'rank49_factor': 168} seconds 296.66
JETS 14500 {'inconsistent': 14332, 'rank49_factor': 168} seconds 298.63
JETS 14600 {'inconsistent': 14432, 'rank49_factor': 168} seconds 300.58
JETS 14700 {'inconsistent': 14532, 'rank49_factor': 168} seconds 302.5
JETS 14800 {'inconsistent': 14632, 'rank49_factor': 168} seconds 304.39
JETS 14900 {'inconsistent': 14732, 'rank49_factor': 168} seconds 306.42
JETS 15000 {'inconsistent': 14832, 'rank49_factor': 168} seconds 308.4
JETS 15100 {'inconsistent': 14932, 'rank49_factor': 168} seconds 310.44
JETS 15200 {'inconsistent': 15032, 'rank49_factor': 168} seconds 312.82
JETS 15300 {'inconsistent': 15132, 'rank49_factor': 168} seconds 315.02
JETS 15400 {'inconsistent': 15232, 'rank49_factor': 168} seconds 317.32
JETS 15500 {'inconsistent': 15332, 'rank49_factor': 168} seconds 319.55
JETS 15600 {'inconsistent': 15432, 'rank49_factor': 168} seconds 321.63
DONE {'status': 'DISCOVERY_COMPLETE', 'processed': 15620, 'counts': {'inconsistent': 15452, 'rank49_factor': 168}, 'unresolved': [], 'seconds': 322.071}
